id,name,contest,problem,difficulty,tags,lang
112A,Petya and Strings,112,A,800,"['implementation', 'strings', '*800']",['python']
158A,Next Round,158,A,800,"['*special problem', 'implementation', '*800']",['python']
231A,Team,231,A,800,"['bruteforce', 'greedy', '*800']",['python']
236A,Boy or Girl,236,A,800,"['bruteforce', 'implementation', 'strings', '*800']",['python']
263A,Beautiful Matrix,263,A,800,"['implementation', '*800']",['python']
266A,Stones on the Table,266,A,800,"['implementation', '*800']",['python']
281A,Word Capitalization,281,A,800,"['implementation', 'strings', '*800']",['python']
282A,Bit++,282,A,800,"['implementation', '*800']",['python']
339A,Helpful Maths,339,A,800,"['greedy', 'implementation', 'sortings', 'strings', '*800']",['python']
4A,Watermelon,4,A,800,"['bruteforce', 'math', '*800']",['python']
50A,Domino piling,50,A,800,"['greedy', 'math', '*800']",['python']
546A,Soldier and Bananas,546,A,800,"['bruteforce', 'implementation', 'math', '*800']",['python']
71A,Way Too Long Words,71,A,800,"['strings', '*800']",['python']
133A,HQ9+,133,A,900,"['implementation', '*900']",['python']
160A,Twins,160,A,900,"['greedy', 'sortings', '*900']",['python']
318A,Even Odds,318,A,900,"['math', '*900']",['python']
580A,Kefa and First Steps,580,A,900,"['bruteforce', 'dp', 'implementation', '*900']",['python']
96A,Football,96,A,900,"['implementation', 'strings', '*900']",['python']
118A,String Task,118,A,1000,"['implementation', 'strings', '*1000']",['python']
122A,Lucky Division,122,A,1000,"['bruteforce', 'number theory', '*1000']",['python']
1A,Theatre Square,1,A,1000,"['math', '*1000']",['python']
58A,Chat room,58,A,1000,"['greedy', 'strings', '*1000']",['python']
69A,Young Physicist,69,A,1000,"['implementation', 'math', '*1000']",['python']
1669A,Division?,1669,A,800,['implementation'],['golang']
